oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,action_code,Check,action_code,B33,action_code,B66,action_code,B130,action_code,AI,flop
6.54475,0.46851,9.35502,0.53149,0.8466233944,1.06675733,X,0.3046,R5.45,0.0213,R10.9,0.6741,R21.45,0,RAI,0,5h4h4d
5.85216,0.46149,10.0478,0.53851,0.7685461401,1.130819394,X,0.26319,R5.45,0.03527,R10.9,0.70154,R21.45,0,RAI,0,5h4d4c
6.44385,0.46706,9.45622,0.53294,0.8361588797,1.075363558,X,0.3083,R5.45,0.06732,R10.9,0.62437,R21.45,0,RAI,0,5h5d2h
5.97437,0.46131,9.92568,0.53869,0.7849017604,1.116702381,X,0.20678,R5.45,0.2408,R10.9,0.55241,R21.45,0,RAI,0,5d5c2h
6.41555,0.46672,9.48444,0.53328,0.8330931047,1.077885014,X,0.30699,R5.45,0.02366,R10.9,0.66935,R21.45,0,RAI,0,5h5d3h
6.00649,0.4617,9.89381,0.5383,0.788455094,1.113923258,X,0.24839,R5.45,0.09935,R10.9,0.65226,R21.45,0,RAI,0,5d5c3h
6.84844,0.47116,9.05168,0.52884,0.8809257678,1.037339531,X,0.34645,R5.45,0.04422,R10.9,0.60933,R21.45,0,RAI,0,5h5d4h
6.20224,0.46398,9.69796,0.53602,0.8101498802,1.096517231,X,0.283,R5.45,0.04345,R10.9,0.67355,R21.45,0,RAI,0,5d5c4h
3.09937,0.43544,12.8012,0.56456,0.4313811422,1.374221169,X,0,R5.45,0.8089,R10.9,0.1911,R21.45,0,RAI,0,5h5d5c
5.5032,0.46699,10.397,0.53301,0.7142064718,1.182194,X,0.22916,R5.45,0.02833,R10.9,0.74251,R21.45,0,RAI,0,6h2h2d
4.86836,0.4625,11.0317,0.5375,0.6379505297,1.243886644,X,0.22707,R5.45,0.0381,R10.9,0.73483,R21.45,0,RAI,0,6h2d2c
