oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,AI,flop
24.1381,0.52994,10.5095,0.47006,1.29216549,0.8436899467,F,0.2603,C,0.73966,R24.15,0.00004,R32.95,0,R45.25,0,RAI,0,5h4h3h
24.0652,0.53998,10.5843,0.46002,1.264308457,0.8682370161,F,0.17013,C,0.7519,R24.15,0.01538,R32.95,0.00028,R45.25,0.00005,RAI,0.06227,5d4h3h
24.1639,0.53953,10.4871,0.46047,1.270549069,0.8594246253,F,0.17106,C,0.7494,R24.15,0.01442,R32.95,0.00046,R45.25,0.00008,RAI,0.06459,5h4h3d
24.1549,0.53977,10.4952,0.46023,1.269512021,0.860540188,F,0.16956,C,0.75173,R24.15,0.01348,R32.95,0.00032,R45.25,0.00007,RAI,0.06484,5h4d3h
24.6762,0.54453,9.97419,0.45547,1.285574303,0.8263651233,F,0.16041,C,0.70911,R24.15,0.08874,R32.95,0.03565,R45.25,0.0012,RAI,0.00488,5h4d3c
24.6535,0.54398,9.99945,0.45602,1.285688168,0.8274587247,F,0.18401,C,0.72873,R24.15,0.07435,R32.95,0.00984,R45.25,0.00175,RAI,0.00133,5h4h4d
25.7745,0.54846,8.87302,0.45154,1.333174003,0.7415311044,F,0.16194,C,0.68506,R24.15,0.14951,R32.95,0.00332,R45.25,0.00017,RAI,0,5h4d4c
24.4582,0.54572,10.1869,0.45428,1.271436406,0.8461974543,F,0.17368,C,0.78895,R24.15,0.03543,R32.95,0.00192,R45.25,0.00001,RAI,0,5h5d2h
25.4543,0.54769,9.19855,0.45231,1.3184583,0.7674274413,F,0.15341,C,0.76015,R24.15,0.08614,R32.95,0.0003,R45.25,0,RAI,0,5d5c2h
24.44,0.54351,10.209,0.45649,1.275656228,0.8439268004,F,0.17767,C,0.76946,R24.15,0.04681,R32.95,0.00592,R45.25,0.00013,RAI,0.00002,5h5d3h
25.4188,0.54642,9.23339,0.45358,1.319681111,0.7681771946,F,0.16039,C,0.73805,R24.15,0.10021,R32.95,0.00135,R45.25,0,RAI,0,5d5c3h
24.4112,0.54226,10.2371,0.45774,1.277093841,0.8439404023,F,0.18197,C,0.75576,R24.15,0.04814,R32.95,0.01116,R45.25,0.00221,RAI,0.00076,5h5d4h
