oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,R120,actions/6/action_code,AI,flop
5.95832,0.45475,15.3916,0.54525,0.7940853445,1.286038164,F,0.24213,C,0.6071,R15.05,0.04524,R20.5,0.08907,R28.2,0.00016,R38.35,0,RAI,0.0163,5h4d2h
5.99749,0.45444,15.3525,0.54556,0.7998508934,1.282043096,F,0.24387,C,0.60213,R15.05,0.05584,R20.5,0.08247,R28.2,0,R38.35,0,RAI,0.0157,5d4h2h
5.60879,0.45491,15.7057,0.54509,0.7472393535,1.312666919,F,0.23214,C,0.59843,R15.05,0.08012,R20.5,0.0666,R28.2,0.00676,R38.35,0.00899,RAI,0.00697,5h4d2c
5.64951,0.46358,15.7011,0.53642,0.7385877965,1.33349431,F,0.32843,C,0.57254,R15.05,0.09812,R20.5,0.00091,R28.2,0,R38.35,0,RAI,0,5h4h3h
6.18613,0.45388,15.1638,0.54612,0.8260266207,1.264982694,F,0.25055,C,0.59543,R15.05,0.12633,R20.5,0.0186,R28.2,0,R38.35,0,RAI,0.00909,5d4h3h
6.22286,0.45348,15.1275,0.54652,0.8316640589,1.261031672,F,0.25095,C,0.59724,R15.05,0.12208,R20.5,0.0244,R28.2,0,R38.35,0,RAI,0.00533,5h4h3d
6.17084,0.45352,15.1799,0.54648,0.8246390239,1.265495751,F,0.24651,C,0.60596,R15.05,0.11751,R20.5,0.01954,R28.2,0,R38.35,0,RAI,0.01048,5h4d3h
6.10376,0.45465,15.2297,0.54535,0.8136474703,1.272275599,F,0.22032,C,0.62398,R15.05,0.12646,R20.5,0.01208,R28.2,0.00646,R38.35,0.00618,RAI,0.00452,5h4d3c
5.23427,0.44848,16.1162,0.55152,0.7073414278,1.331272166,F,0.27269,C,0.52827,R15.05,0.02109,R20.5,0.17227,R28.2,0.00443,R38.35,0.00119,RAI,0.00005,5h4h4d
4.68258,0.44413,16.6709,0.55587,0.638985713,1.366318952,F,0.27223,C,0.51558,R15.05,0.00895,R20.5,0.15545,R28.2,0.0463,R38.35,0.00149,RAI,0,5h4d4c
5.66403,0.44966,15.6845,0.55034,0.7634091259,1.298390593,F,0.2922,C,0.51496,R15.05,0.00579,R20.5,0.18705,R28.2,0,R38.35,0,RAI,0,5h5d2h
5.39419,0.44753,15.955,0.55247,0.7304998436,1.315687519,F,0.27024,C,0.53185,R15.05,0.00904,R20.5,0.18607,R28.2,0.00281,R38.35,0,RAI,0,5d5c2h
5.56234,0.44813,15.7873,0.55187,0.7522627213,1.30327563,F,0.29401,C,0.50283,R15.05,0.00321,R20.5,0.19995,R28.2,0,R38.35,0,RAI,0,5h5d3h
5.24279,0.44618,16.1058,0.55382,0.7121450355,1.324890297,F,0.26477,C,0.53408,R15.05,0.00294,R20.5,0.19479,R28.2,0.00341,R38.35,0,RAI,0,5d5c3h
5.50622,0.45177,15.847,0.54823,0.7386729733,1.316894866,F,0.27421,C,0.53137,R15.05,0.01458,R20.5,0.17984,R28.2,0,R38.35,0,RAI,0,5h5d4h
5.03261,0.44689,16.3179,0.55311,0.6825094886,1.344057084,F,0.26864,C,0.52192,R15.05,0.00411,R20.5,0.19993,R28.2,0.00539,R38.35,0,RAI,0,5d5c4h
3.76942,0.43238,17.5805,0.56762,0.5283539856,1.411042209,F,0.371,C,0.44642,R15.05,0.01464,R20.5,0.16326,R28.2,0.00468,R38.35,0,RAI,0,5h5d5c
4.90394,0.44772,16.4294,0.55228,0.6638267284,1.355273935,F,0.2932,C,0.51524,R15.05,0.02881,R20.5,0.1444,R28.2,0.00874,R38.35,0.00707,RAI,0.00255,6h2h2d
4.2365,0.44077,17.1126,0.55923,0.5825205043,1.394093862,F,0.30521,C,0.47732,R15.05,0.0013,R20.5,0.16094,R28.2,0.05524,R38.35,0,RAI,0,6h2d2c
5.73914,0.46654,15.6111,0.53346,0.7455452098,1.333202117,F,0.33262,C,0.60238,R15.05,0.06136,R20.5,0.00364,R28.2,0,R38.35,0,RAI,0,6h3h2h
6.15532,0.46342,15.1941,0.53658,0.8049926723,1.290046581,F,0.26264,C,0.56427,R15.05,0.14632,R20.5,0.02678,R28.2,0,R38.35,0,RAI,0,6d3h2h
