oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,R120,actions/6/action_code,AI,flop
23.6422,0.56299,9.02437,0.43701,1.262975197,0.826010425,F,0.16834,C,0.73126,R22.8,0.00976,R31.1,0.01369,R42.7,0.01389,R58.05,0.01886,RAI,0.04421,5h4h2d
23.6024,0.56207,9.04269,0.43793,1.262917586,0.8259484874,F,0.16822,C,0.72956,R22.8,0.00979,R31.1,0.01246,R42.7,0.01156,R58.05,0.01822,RAI,0.05019,5h4d2h
23.5189,0.56229,9.12068,0.43771,1.257957302,0.8334906786,F,0.16759,C,0.73341,R22.8,0.00974,R31.1,0.0116,R42.7,0.01084,R58.05,0.01754,RAI,0.04928,5d4h2h
23.8882,0.56146,8.75863,0.43854,1.27959624,0.7988899135,F,0.13994,C,0.7371,R22.8,0.00763,R31.1,0.07956,R42.7,0.01399,R58.05,0.01113,RAI,0.01065,5h4d2c
23.2963,0.56345,9.35082,0.43655,1.243485419,0.8567925573,F,0.26739,C,0.73261,R22.8,0.00001,R31.1,0,R42.7,0,R58.05,0,RAI,0,5h4h3h
22.6093,0.56068,10.0312,0.43932,1.212776581,0.9133406611,F,0.17167,C,0.73922,R22.8,0.01874,R31.1,0.01034,R42.7,0.00716,R58.05,0.01996,RAI,0.03291,5d4h3h
22.659,0.56075,9.99447,0.43925,1.215292338,0.9101395393,F,0.17201,C,0.73546,R22.8,0.02178,R31.1,0.01405,R42.7,0.01044,R58.05,0.02092,RAI,0.02533,5h4h3d
22.6817,0.56079,9.96621,0.43921,1.216418224,0.9076487711,F,0.17089,C,0.73761,R22.8,0.02039,R31.1,0.01302,R42.7,0.00806,R58.05,0.02258,RAI,0.02744,5h4d3h
22.3209,0.55641,10.3292,0.44359,1.206492203,0.9314150524,F,0.12698,C,0.77478,R22.8,0.00596,R31.1,0.0908,R42.7,0.00119,R58.05,0.00015,RAI,0.00013,5h4d3c
22.9171,0.55426,9.73929,0.44574,1.243523738,0.873988417,F,0.17954,C,0.70388,R22.8,0.11406,R31.1,0.00221,R42.7,0.00013,R58.05,0.00009,RAI,0.0001,5h4h4d
