oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,AI,flop
9.67685,0.4391,33.7211,0.5609,0.8316195974,1.366353723,F,0.53389,C,0.2496,R39,0.06062,R51.3,0.06939,RAI,0.08649,5h4h4d
10.4795,0.44712,32.9189,0.55288,0.884444475,1.353198033,F,0.4694,C,0.39505,R39,0.08854,R51.3,0.01907,RAI,0.02794,5h4d4c
8.79261,0.41412,34.6132,0.58588,0.8012088747,1.342704753,F,0.58315,C,0.12403,R39,0.10159,R51.3,0.07715,RAI,0.11408,5h5d2h
10.8289,0.43897,32.5779,0.56103,0.9308978689,1.319725734,F,0.51555,C,0.28427,R39,0.09417,R51.3,0.04131,RAI,0.0647,5d5c2h
9.25583,0.42307,34.1509,0.57693,0.8255763478,1.345323195,F,0.56883,C,0.16106,R39,0.08386,R51.3,0.07029,RAI,0.11596,5h5d3h
10.7167,0.44241,32.6858,0.55759,0.9140885022,1.332267992,F,0.50413,C,0.31733,R39,0.08563,R51.3,0.03887,RAI,0.05405,5d5c3h
9.28863,0.42562,34.1349,0.57438,0.8235382043,1.350661156,F,0.56254,C,0.19345,R39,0.07227,R51.3,0.0696,RAI,0.10214,5h5d4h
10.5018,0.44346,32.8966,0.55654,0.8936433741,1.343391461,F,0.49573,C,0.35366,R39,0.0596,R51.3,0.04074,RAI,0.05027,5d5c4h
12.2282,0.45059,31.1573,0.54941,1.024079499,1.288875208,F,0.5395,C,0.20733,R39,0.06533,R51.3,0.05588,RAI,0.13197,5h5d5c
10.1044,0.44628,33.289,0.55372,0.8543946638,1.366337954,F,0.53449,C,0.22567,R39,0.10658,R51.3,0.06426,RAI,0.069,6h2h2d
10.2203,0.44344,33.1857,0.55656,0.8697226788,1.355145182,F,0.50172,C,0.30226,R39,0.12755,R51.3,0.03621,RAI,0.03226,6h2d2c
6.77144,0.45085,36.6135,0.54915,0.5667650731,1.515295077,F,0.49991,C,0.28052,R39,0.18396,R51.3,0.0218,RAI,0.01382,6h3h2h
9.1483,0.43928,34.2319,0.56072,0.7858743211,1.387498408,F,0.54091,C,0.23712,R39,0.08294,R51.3,0.06065,RAI,0.07838,6d3h2h
9.59081,0.44418,33.7999,0.55582,0.8147988253,1.382063322,F,0.53063,C,0.26183,R39,0.07069,R51.3,0.06643,RAI,0.07042,6h3h2d
