oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,AI,flop
35.3431,0.54955,8.05712,0.45045,1.461655436,0.6749745237,F,0.30592,C,0.58298,R39,0.11091,R51.3,0.00009,RAI,0.0001,2h2d2c
36.9344,0.55686,6.46488,0.44314,1.507413185,0.5505206829,F,0.33113,C,0.5908,R39,0.00562,R51.3,0.0112,RAI,0.06125,3h2h2d
35.7563,0.54777,7.6456,0.45223,1.483548503,0.6379788989,F,0.31134,C,0.57015,R39,0.10925,R51.3,0.00469,RAI,0.00458,3h2d2c
36.8039,0.55632,6.59348,0.44368,1.503546808,0.5607883536,F,0.3325,C,0.5923,R39,0.00476,R51.3,0.0124,RAI,0.05804,3h3d2h
35.7064,0.54777,7.69337,0.45223,1.48147654,0.6419650174,F,0.31135,C,0.57329,R39,0.10578,R51.3,0.00499,RAI,0.00459,3d3c2h
35.2335,0.54882,8.1643,0.45118,1.459058845,0.682846721,F,0.3066,C,0.58255,R39,0.11086,R51.3,0,RAI,0,3h3d3c
36.8574,0.55551,6.54488,0.44449,1.507927314,0.5556404159,F,0.33085,C,0.59133,R39,0.00486,R51.3,0.00861,RAI,0.06434,4h2h2d
35.6965,0.5448,7.70281,0.4552,1.489143203,0.638559044,F,0.31675,C,0.557,R39,0.1255,R51.3,0.00045,RAI,0.0003,4h2d2c
32.6859,0.51691,10.6255,0.48309,1.437117532,0.8299941686,F,0.43442,C,0.542,R39,0.00997,R51.3,0.00775,RAI,0.00586,4h3h2h
34.0834,0.5565,9.31691,0.4435,1.391955818,0.7927429354,F,0.37084,C,0.51628,R39,0.00183,R51.3,0.00287,RAI,0.10818,4h3h2d
34.08,0.55634,9.32013,0.44366,1.392214889,0.7927310083,F,0.3713,C,0.5182,R39,0.00142,R51.3,0.00197,RAI,0.10711,4h3d2h
34.0262,0.55535,9.37297,0.44465,1.39249734,0.7954502902,F,0.37005,C,0.52609,R39,0.00082,R51.3,0.00082,RAI,0.10221,4d3h2h
35.1451,0.55807,8.2558,0.44193,1.431277819,0.7049524467,F,0.3311,C,0.56736,R39,0.01797,R51.3,0.00712,RAI,0.07645,4h3d2c
36.6984,0.55435,6.70654,0.44565,1.504561412,0.5678828201,F,0.33365,C,0.58621,R39,0.00322,R51.3,0.01721,RAI,0.05972,4h3h3d
36.0892,0.5468,7.30901,0.4532,1.500017808,0.6085871395,F,0.31173,C,0.57077,R39,0.11535,R51.3,0.00088,RAI,0.00127,4h3d3c
36.1974,0.55348,7.20476,0.44652,1.486354072,0.6088814347,F,0.34096,C,0.60068,R39,0.00111,R51.3,0.00436,RAI,0.05289,4h4d2h
35.3244,0.54283,8.07481,0.45717,1.478965119,0.6665131263,F,0.32003,C,0.57309,R39,0.10628,R51.3,0.00051,RAI,0.00008,4d4c2h
36.1867,0.55345,7.21684,0.44655,1.485997385,0.6098613143,F,0.33944,C,0.59705,R39,0.00101,R51.3,0.00459,RAI,0.0579,4h4d3h
35.648,0.54478,7.7513,0.45522,1.487173332,0.6425505745,F,0.31358,C,0.58591,R39,0.09811,R51.3,0.00131,RAI,0.00109,4d4c3h
34.8067,0.54519,8.5925,0.45481,1.45098207,0.7129246885,F,0.31143,C,0.58228,R39,0.10629,R51.3,0,RAI,0,4h4d4c
36.4593,0.55239,6.93994,0.44761,1.500065536,0.5850730161,F,0.33149,C,0.59882,R39,0.00295,R51.3,0.00445,RAI,0.0623,5h2h2d
35.1913,0.53968,8.20733,0.46032,1.48199527,0.672815779,F,0.32672,C,0.53586,R39,0.13742,R51.3,0,RAI,0,5h2d2c
32.1038,0.5189,11.2861,0.4811,1.406112217,0.8852409796,F,0.43237,C,0.54456,R39,0.01087,R51.3,0.00752,RAI,0.00467,5h3h2h
