oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R50,actions/3/action_code,R100,actions/4/action_code,R150,actions/5/action_code,AI,flop
1.54585,0.48461,7.149,0.51539,0.579979052,1.515961749,F,0.44537,C,0.4313,R10.05,0.12023,R16.45,0.00311,RAI,0,5h4d3h,,
1.517,0.48414,7.16979,0.51586,0.5697074598,1.518984902,F,0.42541,C,0.48477,R10.05,0.08183,R16.45,0.00799,RAI,0,5h4d3c,,
1.55768,0.4823,7.1394,0.5177,0.5872165449,1.507170699,F,0.45341,C,0.43326,R10.05,0.11319,R16.45,0.00015,RAI,0,5h4h4d,,
1.56727,0.4908,7.1289,0.5092,0.5805994154,1.530076188,F,0.45266,C,0.41624,R10.05,0.1311,R16.45,0,RAI,0,5h4d4c,,
1.62701,0.48049,7.07498,0.51951,0.6156631738,1.488367648,F,0.46697,C,0.40523,R10.05,0.12601,R16.45,0.00177,RAI,0.00002,5h5d2h,,
1.62061,0.48591,7.07893,0.51409,0.6064011121,1.504899023,F,0.46349,C,0.38783,R10.05,0.14868,R16.45,0,RAI,0,5d5c2h,,
1.6203,0.48461,7.08204,0.51539,0.6079115478,1.501762658,F,0.46002,C,0.4165,R10.05,0.12326,R16.45,0.00022,RAI,0,5h5d3h,,
1.6157,0.49129,7.08191,0.50871,0.5979434463,1.521454677,F,0.45863,C,0.39698,R10.05,0.14439,R16.45,0,RAI,0,5d5c3h,,
1.60617,0.48609,7.09268,0.51391,0.6007754058,1.508350272,F,0.45836,C,0.42089,R10.05,0.12075,R16.45,0,RAI,0,5h5d4h,,
1.60234,0.49434,7.09617,0.50566,0.5893404152,1.533713767,F,0.45899,C,0.39857,R10.05,0.1424,R16.45,0.00004,RAI,0,5d5c4h,,
1.57476,0.46528,7.12917,0.53472,0.6153713785,1.457106992,F,0.4693,C,0.36994,R10.05,0.16055,R16.45,0.0002,RAI,0,5h5d5c,,
1.57771,0.47132,7.12317,0.52868,0.6086233717,1.472513571,F,0.46435,C,0.39692,R10.05,0.13796,R16.45,0.00076,RAI,0,6h2h2d,,
1.67086,0.47501,7.02486,0.52499,0.6395501818,1.462397797,F,0.45017,C,0.41775,R10.05,0.13065,R16.45,0.00142,RAI,0,6h2d2c,,
1.59325,0.47226,7.10272,0.52774,0.6133947948,1.47090144,F,0.46486,C,0.51009,R10.05,0.02141,R16.45,0.00258,RAI,0.00106,6h3h2h,,
1.53095,0.47784,7.16386,0.52216,0.5825266464,1.499416868,F,0.4481,C,0.42569,R10.05,0.1201,R16.45,0.0061,RAI,0.00001,6d3h2h,,
1.51582,0.47805,7.18007,0.52195,0.5765163579,1.503414284,F,0.44941,C,0.4122,R10.05,0.133,R16.45,0.00537,RAI,0.00002,6h3h2d,,
1.51761,0.47783,7.17783,0.52217,0.5774628774,1.502312098,F,0.44996,C,0.41077,R10.05,0.13293,R16.45,0.00632,RAI,0.00002,6h3d2h,,
1.54883,0.47616,7.13476,0.52384,0.5914093297,1.488536892,F,0.41688,C,0.49015,R10.05,0.08582,R16.45,0.00715,RAI,0,6h3d2c,,
1.56917,0.47713,7.13319,0.52287,0.59795787,1.490970255,F,0.46841,C,0.37886,R10.05,0.1527,R16.45,0.00004,RAI,0,6h3h3d,,
1.63446,0.48009,7.06227,0.51991,0.6189975738,1.48455086,F,0.45512,C,0.40125,R10.05,0.14312,R16.45,0.00051,RAI,0,6h3d3c,,
1.63695,0.47633,7.06234,0.52367,0.6248341866,1.473906062,F,0.46447,C,0.50459,R10.05,0.02695,R16.45,0.00294,RAI,0.00105,6h4h2h,,
