oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,AI,flop
7.09787,0.46186,25.5518,0.53814,0.6147204656,1.428020396,F,0.35549,C,0.45816,R22.8,0.04669,R31.1,0.02365,RAI,0.11602,5h4d3h
7.06937,0.46306,25.5806,0.53694,0.6106655657,1.432824478,F,0.32387,C,0.46617,R22.8,0.06762,R31.1,0.13078,RAI,0.01156,5h4d3c
8.27514,0.47443,24.3763,0.52557,0.6976911156,1.394908671,F,0.35885,C,0.42641,R22.8,0.08228,R31.1,0.09812,RAI,0.03434,5h4h4d
8.61074,0.48159,24.0399,0.51841,0.7151925628,1.394655872,F,0.28604,C,0.50087,R22.8,0.13771,R31.1,0.07518,RAI,0.00019,5h4d4c
8.40003,0.47795,24.2491,0.52205,0.7030049183,1.39698249,F,0.3689,C,0.37782,R22.8,0.13782,R31.1,0.08408,RAI,0.03138,5h5d2h
8.6787,0.48222,23.9729,0.51778,0.7198955293,1.392462417,F,0.30661,C,0.44223,R22.8,0.20491,R31.1,0.04623,RAI,0.00002,5d5c2h
8.17104,0.4755,24.4786,0.5245,0.6873640206,1.403622415,F,0.36649,C,0.39904,R22.8,0.10673,R31.1,0.10057,RAI,0.02718,5h5d3h
8.47883,0.48181,24.1688,0.51819,0.7039148441,1.402732771,F,0.30819,C,0.44902,R22.8,0.17935,R31.1,0.06343,RAI,0.00001,5d5c3h
7.8087,0.47103,24.8427,0.52897,0.6631170105,1.412458676,F,0.37414,C,0.40051,R22.8,0.08754,R31.1,0.11388,RAI,0.02392,5h5d4h
8.24199,0.48037,24.4077,0.51963,0.6863035031,1.412670808,F,0.30131,C,0.47744,R22.8,0.14741,R31.1,0.07384,RAI,0,5d5c4h
9.29467,0.47429,23.3497,0.52571,0.7838807349,1.335806171,F,0.2352,C,0.55839,R22.8,0.11531,R31.1,0.0911,RAI,0,5h5d5c
8.75822,0.48262,23.8925,0.51738,0.7258894951,1.388865323,F,0.36129,C,0.38859,R22.8,0.14404,R31.1,0.08876,RAI,0.01732,6h2h2d
8.93634,0.48094,23.7147,0.51906,0.7432394951,1.374070281,F,0.3047,C,0.44451,R22.8,0.19514,R31.1,0.05562,RAI,0.00002,6h2d2c
8.77589,0.49343,23.8721,0.50657,0.7114192937,1.417294365,F,0.30645,C,0.63118,R22.8,0.06192,R31.1,0.00045,RAI,0,6h3h2h
7.69919,0.47647,24.951,0.52353,0.6463525715,1.433359941,F,0.39155,C,0.35864,R22.8,0.15016,R31.1,0.09744,RAI,0.00221,6d3h2h
7.74724,0.47642,24.9027,0.52358,0.6504546665,1.430445671,F,0.39306,C,0.35591,R22.8,0.15146,R31.1,0.09475,RAI,0.00482,6h3h2d
7.76774,0.47662,24.8831,0.52338,0.6519021407,1.429865006,F,0.39351,C,0.35446,R22.8,0.153,R31.1,0.09486,RAI,0.00417,6h3d2h
7.94508,0.478,24.7051,0.522,0.6648602552,1.423390073,F,0.34257,C,0.39143,R22.8,0.20329,R31.1,0.06271,RAI,0,6h3d2c
8.67265,0.48379,23.9786,0.51621,0.7170590673,1.397031232,F,0.36247,C,0.38739,R22.8,0.1409,R31.1,0.08759,RAI,0.02165,6h3h3d
8.90968,0.48153,23.7411,0.51847,0.7401142333,1.377166588,F,0.3093,C,0.43816,R22.8,0.19752,R31.1,0.05503,RAI,0,6h3d3c
8.74071,0.49381,23.9096,0.50619,0.7080221375,1.420584544,F,0.30854,C,0.60172,R22.8,0.08946,R31.1,0.00023,RAI,0.00005,6h4h2h
8.11699,0.47904,24.5336,0.52096,0.677771388,1.416334977,F,0.37442,C,0.4096,R22.8,0.10068,R31.1,0.10563,RAI,0.00967,6d4h2h
8.23268,0.47932,24.4184,0.52068,0.6870300007,1.410438334,F,0.36993,C,0.41829,R22.8,0.0961,R31.1,0.09533,RAI,0.02035,6h4h2d
8.14007,0.47896,24.5097,0.52104,0.6798120791,1.414734919,F,0.37494,C,0.40858,R22.8,0.10179,R31.1,0.09993,RAI,0.01476,6h4d2h
8.29094,0.48117,24.3574,0.51883,0.6892316901,1.411932189,F,0.31663,C,0.45211,R22.8,0.14848,R31.1,0.08275,RAI,0.00003,6h4d2c
8.74408,0.49187,23.9067,0.50813,0.7110886891,1.414987994,F,0.31387,C,0.59922,R22.8,0.08661,R31.1,0.00027,RAI,0.00003,6h4h3h
7.7453,0.47681,24.9053,0.52319,0.6497598357,1.431660839,F,0.38032,C,0.40802,R22.8,0.09536,R31.1,0.09491,RAI,0.02139,6d4h3h
