oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R50,actions/3/action_code,R100,actions/4/action_code,R150,actions/5/action_code,AI,flop
1.70155,0.4689,5.13818,0.5311,0.6597840302,1.325287661,F,0.27525,C,0.57184,R6.35,0.14984,R10.9,0.00308,RAI,0,5h4d3h,,
1.73385,0.47384,5.10374,0.52616,0.6652993756,1.328764051,F,0.26201,C,0.60288,R6.35,0.1219,R10.9,0.01321,RAI,0,5h4d3c,,
1.67911,0.46202,5.16823,0.53798,0.6607781697,1.315990731,F,0.30034,C,0.52146,R6.35,0.17391,R10.9,0.00429,RAI,0,5h4h4d,,
1.62179,0.45741,5.22071,0.54259,0.6446534039,1.318059118,F,0.28942,C,0.52146,R6.35,0.1855,R10.9,0.00362,RAI,0,5h4d4c,,
1.70895,0.45908,5.14394,0.54092,0.6768279654,1.302686694,F,0.32184,C,0.48569,R6.35,0.18748,R10.9,0.00498,RAI,0,5h5d2h,,
1.64737,0.45358,5.20127,0.54642,0.6603505885,1.303947115,F,0.31522,C,0.48683,R6.35,0.19322,R10.9,0.00473,RAI,0,5d5c2h,,
1.70416,0.46292,5.1461,0.53708,0.6693321987,1.312551621,F,0.31238,C,0.49895,R6.35,0.18389,R10.9,0.00477,RAI,0,5h5d3h,,
1.63998,0.45814,5.206,0.54186,0.6508451205,1.316116128,F,0.30325,C,0.50293,R6.35,0.18988,R10.9,0.00394,RAI,0,5d5c3h,,
1.69117,0.46421,5.15784,0.53579,0.6623843692,1.318713226,F,0.30689,C,0.50605,R6.35,0.18191,R10.9,0.00516,RAI,0,5h5d4h,,
1.63762,0.46063,5.20682,0.53937,0.6463953414,1.322400235,F,0.29744,C,0.50444,R6.35,0.19421,R10.9,0.00391,RAI,0,5d5c4h,,
1.74039,0.44696,5.09791,0.55304,0.707970587,1.262736494,F,0.26692,C,0.52465,R6.35,0.20411,R10.9,0.00432,RAI,0,5h5d5c,,
1.73907,0.456,5.11147,0.544,0.6934091136,1.287134857,F,0.31302,C,0.48664,R6.35,0.19395,R10.9,0.00639,RAI,0,6h2h2d,,
1.71638,0.44696,5.12609,0.55304,0.6982036187,1.269716623,F,0.28076,C,0.52841,R6.35,0.17953,R10.9,0.0113,RAI,0,6h2d2c,,
1.82015,0.47374,5.03092,0.52626,0.6985611493,1.309556309,F,0.31126,C,0.61493,R6.35,0.07044,R10.9,0.00337,RAI,0,6h3h2h,,
1.72454,0.46291,5.11695,0.53709,0.6773513831,1.305092359,F,0.28323,C,0.5476,R6.35,0.16336,R10.9,0.0058,RAI,0,6d3h2h,,
1.71399,0.46285,5.12845,0.53715,0.6732948851,1.307879275,F,0.28497,C,0.53605,R6.35,0.17367,R10.9,0.00531,RAI,0,6h3h2d,,
1.71253,0.46245,5.12959,0.53755,0.6733032664,1.30719673,F,0.28574,C,0.53258,R6.35,0.17586,R10.9,0.00581,RAI,0,6h3d2h,,
1.71832,0.45691,5.1181,0.54309,0.6837710068,1.290963984,F,0.25689,C,0.57964,R6.35,0.16213,R10.9,0.00134,RAI,0,6h3d2c,,
1.69392,0.45895,5.15591,0.54105,0.6710653641,1.305404345,F,0.31502,C,0.4821,R6.35,0.19612,R10.9,0.00675,RAI,0,6h3h3d,,
1.66152,0.45,5.18172,0.55,0.6713212316,1.290590204,F,0.28959,C,0.51501,R6.35,0.18335,R10.9,0.01205,RAI,0,6h3d3c,,
1.85797,0.4774,4.99166,0.5226,0.7076093919,1.308436785,F,0.30951,C,0.60798,R6.35,0.07868,R10.9,0.00383,RAI,0,6h4h2h,,
1.74764,0.46842,5.09397,0.53158,0.6783500502,1.312698226,F,0.28571,C,0.52842,R6.35,0.17748,R10.9,0.0084,RAI,0,6d4h2h,,
1.73474,0.46779,5.10725,0.53221,0.6742497083,1.314562535,F,0.28838,C,0.51204,R6.35,0.19314,R10.9,0.00644,RAI,0,6h4h2d,,
1.73624,0.46766,5.10574,0.53234,0.6750203111,1.313852915,F,0.28887,C,0.51281,R6.35,0.19214,R10.9,0.00618,RAI,0,6h4d2h,,
1.73021,0.46283,5.10696,0.53717,0.6796958318,1.302350366,F,0.25854,C,0.56838,R6.35,0.1413,R10.9,0.03179,RAI,0,6h4d2c,,
1.86153,0.47811,4.98631,0.52189,0.707912406,1.308812557,F,0.30479,C,0.60797,R6.35,0.08276,R10.9,0.00448,RAI,0,6h4h3h,,
1.76173,0.47564,5.08038,0.52436,0.6734390256,1.327222632,F,0.28841,C,0.53692,R6.35,0.16997,R10.9,0.0047,RAI,0,6d4h3h,,
1.75809,0.47551,5.08471,0.5245,0.6722313515,1.327999269,F,0.28915,C,0.52559,R6.35,0.18129,R10.9,0.00397,RAI,0,6h4h3d,,
1.75794,0.47551,5.08499,0.52449,0.6721740101,1.328097728,F,0.28985,C,0.52496,R6.35,0.18138,R10.9,0.00381,RAI,0,6h4d3h,,
1.73355,0.47223,5.10398,0.52777,0.6674521078,1.324772863,F,0.26653,C,0.57099,R6.35,0.15625,R10.9,0.00622,RAI,0,6h4d3c,,
1.6847,0.45964,5.16562,0.54036,0.6664108772,1.309532889,F,0.3154,C,0.48886,R6.35,0.19062,R10.9,0.00512,RAI,0,6h4h4d,,
1.60612,0.45232,5.2408,0.54768,0.6456088838,1.310834371,F,0.30715,C,0.49147,R6.35,0.19473,R10.9,0.00665,RAI,0,6h4d4c,,
1.84448,0.47786,5.00358,0.52214,0.7017955139,1.312716697,F,0.30449,C,0.61112,R6.35,0.07935,R10.9,0.00504,RAI,0,6h5h2h,,
1.73997,0.47089,5.10026,0.52911,0.6718303337,1.320454545,F,0.28314,C,0.52056,R6.35,0.1885,R10.9,0.00779,RAI,0,6h5d2h,,
1.73654,0.47028,5.1043,0.52972,0.6713756566,1.3199788,F,0.28313,C,0.5203,R6.35,0.18623,R10.9,0.01033,RAI,0,6h5h2d,,
1.75231,0.47192,5.08751,0.52808,0.6751182742,1.31972279,F,0.27994,C,0.53403,R6.35,0.17589,R10.9,0.01014,RAI,0,6d5h2h,,
1.74512,0.46788,5.09075,0.53212,0.678153687,1.310537205,F,0.25215,C,0.5778,R6.35,0.12174,R10.9,0.04832,RAI,0,6h5d2c,,
1.85362,0.4784,4.99238,0.5216,0.7044770764,1.311134356,F,0.30149,C,0.60552,R6.35,0.08714,R10.9,0.00586,RAI,0,6h5h3h,,
1.77674,0.47768,5.06535,0.52232,0.6762762304,1.328464554,F,0.28855,C,0.5074,R6.35,0.19659,R10.9,0.00746,RAI,0,6h5h3d,,
1.78166,0.47871,5.05983,0.52129,0.6766898071,1.329638814,F,0.2879,C,0.50903,R6.35,0.19763,R10.9,0.00544,RAI,0,6h5d3h,,
1.78479,0.47855,5.05645,0.52145,0.6781052943,1.328342873,F,0.28687,C,0.51779,R6.35,0.18886,R10.9,0.00648,RAI,0,6d5h3h,,
1.76727,0.47538,5.06919,0.52462,0.6759262279,1.323643012,F,0.26277,C,0.55813,R6.35,0.14425,R10.9,0.03485,RAI,0,6h5d3c,,
