oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R50,actions/3/action_code,R100,actions/4/action_code,AI,flop
5.27376,0.56395,2.22052,0.43605,1.168933376,0.8487253108,F,0.21946,C,0.49507,R7,0.28343,R12,0.00205,RAI,0,5h4d4c
5.26381,0.55791,2.23996,0.44209,1.179359108,0.8444584932,F,0.24266,C,0.51126,R7,0.24139,R12,0.00469,RAI,0,5h5d2h
5.29583,0.56257,2.20167,0.43743,1.176704677,0.8388656318,F,0.22573,C,0.49984,R7,0.26844,R12,0.00599,RAI,0,5d5c2h
5.2582,0.55467,2.2424,0.44533,1.184983953,0.8392278241,F,0.2323,C,0.53643,R7,0.22855,R12,0.00272,RAI,0,5h5d3h
5.27921,0.5586,2.21712,0.4414,1.181348463,0.8371544989,F,0.22237,C,0.50814,R7,0.26694,R12,0.00255,RAI,0,5d5c3h
5.26026,0.55802,2.23898,0.44198,1.178331454,0.8442991512,F,0.22922,C,0.53773,R7,0.23072,R12,0.00233,RAI,0,5h5d4h
5.26099,0.5614,2.23518,0.4386,1.171399665,0.8493615603,F,0.22224,C,0.50109,R7,0.27475,R12,0.00192,RAI,0,5d5c4h
5.20573,0.56657,2.27936,0.43343,1.148518742,0.8764814496,F,0.17787,C,0.64901,R7,0.17264,R12,0.00047,RAI,0,5h5d5c
5.2149,0.56328,2.28021,0.43672,1.157261962,0.8702028558,F,0.20569,C,0.57917,R7,0.20365,R12,0.01148,RAI,0,6h2h2d
5.15064,0.56862,2.3328,0.43138,1.132267546,0.9012934812,F,0.16787,C,0.59843,R7,0.22181,R12,0.01188,RAI,0,6h2d2c
5.22713,0.54327,2.27988,0.45673,1.202700778,0.831957614,F,0.24658,C,0.69747,R7,0.05435,R12,0.00161,RAI,0,6h3h2h
5.20534,0.55569,2.2863,0.44431,1.170918137,0.8576218913,F,0.19102,C,0.61292,R7,0.19181,R12,0.00426,RAI,0,6d3h2h
5.19901,0.55545,2.29301,0.44455,1.16999948,0.8596745613,F,0.19336,C,0.59262,R7,0.20904,R12,0.00499,RAI,0,6h3h2d
5.19818,0.55537,2.29349,0.44463,1.169981375,0.859699806,F,0.19386,C,0.59224,R7,0.2096,R12,0.0043,RAI,0,6h3d2h
5.16694,0.56305,2.31899,0.43695,1.147087396,0.8845367517,F,0.16881,C,0.61145,R7,0.21563,R12,0.00412,RAI,0,6h3d2c
5.20251,0.55978,2.29419,0.44022,1.161730918,0.8685770518,F,0.21722,C,0.52474,R7,0.25345,R12,0.0046,RAI,0,6h3h3d
5.17194,0.56625,2.31625,0.43375,1.141708523,0.8900096318,F,0.19179,C,0.53349,R7,0.26394,R12,0.01077,RAI,0,6h3d3c
5.22168,0.544,2.28472,0.456,1.199834531,0.8350584586,F,0.24607,C,0.68886,R7,0.06398,R12,0.00108,RAI,0,6h4h2h
5.215,0.55685,2.27616,0.44315,1.170647392,0.8560532293,F,0.18713,C,0.63107,R7,0.17675,R12,0.00505,RAI,0,6d4h2h
5.21102,0.55646,2.27982,0.44354,1.170573756,0.856675809,F,0.18779,C,0.62095,R7,0.18586,R12,0.0054,RAI,0,6h4h2d
5.21295,0.5564,2.27781,0.4436,1.171133676,0.8558048175,F,0.18758,C,0.6231,R7,0.18419,R12,0.00514,RAI,0,6h4d2h
5.20796,0.56506,2.27639,0.43494,1.152081184,0.8723004022,F,0.15959,C,0.64529,R7,0.19254,R12,0.00257,RAI,0,6h4d2c
5.25155,0.5453,2.25515,0.4547,1.203821321,0.8266073286,F,0.24981,C,0.67188,R7,0.07818,R12,0.00013,RAI,0,6h4h3h
5.21686,0.55037,2.27419,0.44963,1.184852923,0.8429857098,F,0.19476,C,0.60834,R7,0.1939,R12,0.00301,RAI,0,6d4h3h
5.22171,0.55013,2.27084,0.44987,1.18647186,0.8412948846,F,0.20073,C,0.58378,R7,0.21251,R12,0.00298,RAI,0,6h4h3d
5.22282,0.54988,2.26893,0.45012,1.187263481,0.8401203931,F,0.19963,C,0.58721,R7,0.21039,R12,0.00277,RAI,0,6h4d3h
5.18351,0.55626,2.30271,0.44374,1.16481275,0.8648870972,F,0.17651,C,0.6094,R7,0.20951,R12,0.00458,RAI,0,6h4d3c
5.2536,0.55624,2.24516,0.44376,1.180605474,0.8432336039,F,0.22428,C,0.53706,R7,0.23611,R12,0.00255,RAI,0,6h4h4d
5.25923,0.56199,2.23407,0.43801,1.16977836,0.8500833414,F,0.2092,C,0.52146,R7,0.26385,R12,0.00549,RAI,0,6h4d4c
5.22027,0.54661,2.28409,0.45339,1.193783085,0.8396340276,F,0.2439,C,0.66789,R7,0.08768,R12,0.00053,RAI,0,6h5h2h
5.18419,0.55687,2.30529,0.44313,1.163689449,0.8670480648,F,0.19075,C,0.5927,R7,0.21029,R12,0.00625,RAI,0,6h5d2h
5.17353,0.55775,2.31625,0.44225,1.159464416,0.8729037181,F,0.18772,C,0.59627,R7,0.20941,R12,0.00659,RAI,0,6h5h2d
5.16847,0.55703,2.32028,0.44297,1.1598275,0.8730011946,F,0.18728,C,0.6011,R7,0.20768,R12,0.00394,RAI,0,6d5h2h
5.1737,0.56606,2.31111,0.43394,1.142480434,0.8876457786,F,0.16707,C,0.60944,R7,0.20654,R12,0.01695,RAI,0,6h5d2c
5.23554,0.54562,2.2704,0.45438,1.199447345,0.8327831402,F,0.25161,C,0.65412,R7,0.09422,R12,0.00004,RAI,0,6h5h3h
5.12709,0.54966,2.3642,0.45034,1.165968445,0.8749685795,F,0.20075,C,0.55415,R7,0.23775,R12,0.00729,RAI,0.00006,6h5h3d
5.13945,0.54926,2.35402,0.45074,1.169630476,0.8704279144,F,0.19932,C,0.55765,R7,0.23782,R12,0.00517,RAI,0.00004,6h5d3h
5.16072,0.55085,2.33063,0.44915,1.171081082,0.8648298952,F,0.19702,C,0.57611,R7,0.22324,R12,0.00363,RAI,0,6d5h3h
5.05381,0.55447,2.43341,0.44553,1.139333529,0.9103053082,F,0.17711,C,0.5699,R7,0.23095,R12,0.02026,RAI,0.00178,6h5d3c
5.25112,0.54518,2.2557,0.45482,1.203987644,0.8265907671,F,0.24994,C,0.64636,R7,0.10365,R12,0.00005,RAI,0,6h5h4h
5.18704,0.54963,2.30369,0.45037,1.179666317,0.8525175176,F,0.1949,C,0.55284,R7,0.24594,R12,0.00349,RAI,0.00282,6d5h4h
5.14696,0.54753,2.33845,0.45247,1.175040597,0.8613646324,F,0.19498,C,0.53456,R7,0.26356,R12,0.00344,RAI,0.00346,6h5h4d
5.17472,0.54755,2.31684,0.45245,1.181334946,0.8534423312,F,0.19553,C,0.53809,R7,0.25883,R12,0.00359,RAI,0.00397,6h5d4h
5.05435,0.54242,2.45048,0.45758,1.16476845,0.8925506591,F,0.17439,C,0.53058,R7,0.28645,R12,0.00678,RAI,0.0018,6h5d4c
5.24358,0.55798,2.25541,0.44202,1.174679168,0.8504177643,F,0.2259,C,0.53821,R7,0.23428,R12,0.00161,RAI,0,6h5h5d
5.24322,0.56189,2.25139,0.43811,1.166424878,0.85647821,F,0.21419,C,0.51636,R7,0.26674,R12,0.00272,RAI,0,6h5d5c
5.2578,0.55858,2.24322,0.44142,1.176599654,0.8469711943,F,0.23283,C,0.52858,R7,0.23508,R12,0.0035,RAI,0,6h6d2h
5.2813,0.56452,2.2129,0.43548,1.169422707,0.8469198473,F,0.21452,C,0.51139,R7,0.26704,R12,0.00705,RAI,0,6d6c2h
