oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,AI,flop
24.594,0.54315,10.0571,0.45685,1.28454935,0.8307214545,F,0.17091,C,0.68005,R24.15,0.09174,R32.95,0.05205,RAI,0.00526,5h4d3c
24.3854,0.5453,10.2646,0.4547,1.268629277,0.8518674957,F,0.18172,C,0.70762,R24.15,0.09356,R32.95,0.01707,RAI,0.00003,5h4h4d
25.4745,0.54879,9.17379,0.45121,1.316862367,0.7672275878,F,0.16228,C,0.66068,R24.15,0.11438,R32.95,0.06267,RAI,0,5h4d4c
24.7419,0.54665,9.9082,0.45335,1.284000739,0.8247366127,F,0.18102,C,0.75231,R24.15,0.06038,R32.95,0.00628,RAI,0.00001,5h5d2h
26.1523,0.54859,8.49899,0.45141,1.352393966,0.7104774133,F,0.15226,C,0.69853,R24.15,0.11208,R32.95,0.03713,RAI,0,5d5c2h
24.8052,0.54601,9.84455,0.45399,1.288791443,0.8182833271,F,0.18275,C,0.73359,R24.15,0.07757,R32.95,0.00609,RAI,0,5h5d3h
26.0662,0.54754,8.58334,0.45246,1.350522802,0.7158635403,F,0.15995,C,0.68078,R24.15,0.12455,R32.95,0.03471,RAI,0,5d5c3h
24.6155,0.545,10.0337,0.455,1.281307553,0.832154236,F,0.18328,C,0.73198,R24.15,0.07012,R32.95,0.0146,RAI,0.00002,5h5d4h
25.6837,0.54642,8.96688,0.45358,1.333434085,0.7460047406,F,0.16323,C,0.66749,R24.15,0.126,R32.95,0.04328,RAI,0,5d5c4h
26.7059,0.54584,7.94374,0.45416,1.387977951,0.6600399997,F,0.14917,C,0.69979,R24.15,0.14391,R32.95,0.00713,RAI,0,5h5d5c
24.2359,0.54332,10.4134,0.45668,1.265450238,0.8604671091,F,0.1713,C,0.72846,R24.15,0.09037,R32.95,0.00982,RAI,0.00005,6h2h2d
25.4134,0.55043,9.23609,0.44957,1.309790668,0.7752556596,F,0.12944,C,0.70964,R24.15,0.12118,R32.95,0.03974,RAI,0,6h2d2c
23.3773,0.51663,11.276,0.48337,1.283676579,0.8803014271,F,0.25279,C,0.74627,R24.15,0.00093,R32.95,0.00001,RAI,0,6h3h2h
24.0919,0.54197,10.5585,0.45803,1.26106107,0.8698845712,F,0.18454,C,0.72096,R24.15,0.08811,R32.95,0.00623,RAI,0.00015,6d3h2h
24.1472,0.54127,10.5013,0.45873,1.265593981,0.8638533687,F,0.18252,C,0.71893,R24.15,0.08242,R32.95,0.0161,RAI,0.00002,6h3h2d
24.1598,0.54146,10.4904,0.45854,1.265808525,0.8633167986,F,0.18239,C,0.71914,R24.15,0.0828,R32.95,0.0156,RAI,0.00007,6h3d2h
25.1981,0.54788,9.4518,0.45212,1.304739296,0.7888872564,F,0.14328,C,0.71365,R24.15,0.05576,R32.95,0.08732,RAI,0,6h3d2c
24.2084,0.54518,10.4416,0.45482,1.259701244,0.8663248622,F,0.16764,C,0.73646,R24.15,0.08802,R32.95,0.00785,RAI,0.00003,6h3h3d
