oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,AI,flop
29.3182,0.57207,8.28234,0.42793,1.341603951,0.8414968416,F,0.37294,C,0.52896,R33.9,0,R44.55,0.00028,R59.5,0.01056,RAI,0.08726,5d4h3h
29.1765,0.57124,8.42374,0.42876,1.337058718,0.8542065229,F,0.37011,C,0.53444,R33.9,0,R44.55,0.00052,R59.5,0.01748,RAI,0.07745,5h4h3d
29.303,0.57165,8.29715,0.42835,1.341895809,0.842174941,F,0.37121,C,0.53042,R33.9,0,R44.55,0.00034,R59.5,0.00903,RAI,0.08901,5h4d3h
29.1419,0.56757,8.45791,0.43243,1.344109942,0.8503924336,F,0.31151,C,0.61123,R33.9,0,R44.55,0.00245,R59.5,0.00596,RAI,0.06886,5h4d3c
29.7703,0.56737,7.82963,0.43263,1.373577607,0.7868587228,F,0.35374,C,0.59707,R33.9,0,R44.55,0.00004,R59.5,0.00419,RAI,0.04496,5h4h4d
29.7995,0.56156,7.80026,0.43844,1.389149149,0.7735191722,F,0.2974,C,0.66104,R33.9,0.04156,R44.55,0,R59.5,0,RAI,0,5h4d4c
29.8969,0.57373,7.70238,0.42627,1.36413021,0.7856196506,F,0.36602,C,0.61619,R33.9,0,R44.55,0,R59.5,0.00054,RAI,0.01725,5h5d2h
29.4139,0.56306,8.18541,0.43694,1.367522842,0.8144993818,F,0.32186,C,0.6707,R33.9,0.00744,R44.55,0,R59.5,0,RAI,0,5d5c2h
29.8621,0.57176,7.73785,0.42824,1.367233778,0.7856068283,F,0.36419,C,0.60703,R33.9,0,R44.55,0,R59.5,0.00039,RAI,0.02839,5h5d3h
29.4105,0.5619,8.18885,0.4381,1.370189779,0.8126842405,F,0.32122,C,0.65109,R33.9,0.02769,R44.55,0,R59.5,0,RAI,0,5d5c3h
29.554,0.56997,8.04719,0.43003,1.357378332,0.8136125924,F,0.36414,C,0.60172,R33.9,0,R44.55,0,R59.5,0.00063,RAI,0.03351,5h5d4h
29.4699,0.56175,8.12987,0.43825,1.373323382,0.8065547576,F,0.31228,C,0.65684,R33.9,0.03088,R44.55,0,R59.5,0,RAI,0,5d5c4h
30.2045,0.56297,7.39257,0.43703,1.40450565,0.7354554537,F,0.33424,C,0.66576,R33.9,0,R44.55,0,R59.5,0,RAI,0,5h5d5c
30.3656,0.56424,7.23395,0.43576,1.408815383,0.7217724835,F,0.35136,C,0.60857,R33.9,0,R44.55,0,R59.5,0.00038,RAI,0.0397,6h2h2d
30.1111,0.55576,7.48859,0.44424,1.418323711,0.7329165687,F,0.30801,C,0.64998,R33.9,0.04202,R44.55,0,R59.5,0,RAI,0,6h2d2c
30.6513,0.53392,6.87201,0.46608,1.502828754,0.6410552848,F,0.4535,C,0.53344,R33.9,0.0041,R44.55,0.00373,R59.5,0.00279,RAI,0.00244,6h3h2h
29.3455,0.56741,8.25438,0.43259,1.353881748,0.8296217905,F,0.36814,C,0.60805,R33.9,0,R44.55,0,R59.5,0.00011,RAI,0.02371,6d3h2h
29.2849,0.56671,8.3168,0.43329,1.352754308,0.8345449956,F,0.36627,C,0.61188,R33.9,0,R44.55,0,R59.5,0.00018,RAI,0.02168,6h3h2d
29.2967,0.5667,8.30383,0.4333,1.353326505,0.8332243317,F,0.3667,C,0.61126,R33.9,0,R44.55,0,R59.5,0.00014,RAI,0.0219,6h3d2h
28.6956,0.55188,8.90402,0.44812,1.361152206,0.8639010077,F,0.31359,C,0.64877,R33.9,0.03764,R44.55,0,R59.5,0,RAI,0,6h3d2c
30.1924,0.56512,7.40778,0.43488,1.398597979,0.7406121396,F,0.35004,C,0.60891,R33.9,0,R44.55,0.00001,R59.5,0.00139,RAI,0.03965,6h3h3d
29.9258,0.5551,7.67467,0.4449,1.41127199,0.7500141815,F,0.30379,C,0.65535,R33.9,0.04086,R44.55,0,R59.5,0,RAI,0,6h3d3c
29.3533,0.54575,8.2743,0.45425,1.407990777,0.7919695129,F,0.45401,C,0.53439,R33.9,0.0043,R44.55,0.00313,R59.5,0.00229,RAI,0.00189,6h4h2h
29.6187,0.56367,7.98242,0.43633,1.375555142,0.7954111456,F,0.36068,C,0.59635,R33.9,0,R44.55,0,R59.5,0.00214,RAI,0.04083,6d4h2h
29.6609,0.56391,7.93894,0.43609,1.376928664,0.791513936,F,0.35678,C,0.59839,R33.9,0,R44.55,0,R59.5,0.00527,RAI,0.03955,6h4h2d
29.6374,0.56376,7.96198,0.43624,1.376202521,0.7935380696,F,0.36097,C,0.59518,R33.9,0,R44.55,0,R59.5,0.00585,RAI,0.038,6h4d2h
29.3949,0.55399,8.20579,0.44601,1.389013745,0.799922568,F,0.29054,C,0.66632,R33.9,0.04315,R44.55,0,R59.5,0,RAI,0,6h4d2c
29.6851,0.55189,7.86065,0.4481,1.4080661,0.7627034,F,0.45456,C,0.53012,R33.9,0.00512,R44.55,0.00413,R59.5,0.00318,RAI,0.0029,6h4h3h
29.6162,0.56539,7.98402,0.43461,1.371256109,0.7987190979,F,0.36854,C,0.57925,R33.9,0,R44.55,0.00001,R59.5,0.00229,RAI,0.04991,6d4h3h
29.6441,0.56503,7.9559,0.43497,1.373422018,0.7952472833,F,0.36761,C,0.5759,R33.9,0,R44.55,0.00001,R59.5,0.00248,RAI,0.05399,6h4h3d
29.645,0.56533,7.95553,0.43467,1.372733347,0.795759116,F,0.36947,C,0.57722,R33.9,0,R44.55,0,R59.5,0.00238,RAI,0.05092,6h4d3h
29.0994,0.55436,8.50086,0.44564,1.374131657,0.8293748764,F,0.29557,C,0.66388,R33.9,0.04054,R44.55,0,R59.5,0,RAI,0,6h4d3c
29.7738,0.5668,7.82706,0.4332,1.375122877,0.7855654775,F,0.3553,C,0.62722,R33.9,0,R44.55,0,R59.5,0.00139,RAI,0.01609,6h4h4d
