oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,R120,actions/6/action_code,AI,flop
2.35996,0.4403,24.4396,0.5597,0.3248418977,1.593635245,F,0.538,C,0.15545,R24.3,0.304,R31.95,0.00254,R42.7,0,R56.85,0,RAI,0,2h2d2c
3.83153,0.45024,22.9683,0.54976,0.5157559351,1.52477023,F,0.45819,C,0.39227,R24.3,0.06609,R31.95,0.02823,R42.7,0,R56.85,0.00008,RAI,0.05514,3h2h2d
3.11732,0.44569,23.6831,0.55431,0.4239011106,1.559317362,F,0.48736,C,0.26514,R24.3,0.23214,R31.95,0.01536,R42.7,0,R56.85,0,RAI,0,3h2d2c
4.05575,0.45092,22.7446,0.54908,0.5451145028,1.511789572,F,0.45592,C,0.39398,R24.3,0.07626,R31.95,0.01981,R42.7,0,R56.85,0.00007,RAI,0.05396,3h3d2h
3.43916,0.44722,23.3615,0.55278,0.4660658,1.542402358,F,0.48015,C,0.28966,R24.3,0.20624,R31.95,0.02394,R42.7,0,R56.85,0,RAI,0,3d3c2h
2.48272,0.44093,24.3172,0.55907,0.34125115,1.587437542,F,0.54102,C,0.16514,R24.3,0.29384,R31.95,0,R42.7,0,R56.85,0,RAI,0,3h3d3c
3.85011,0.45301,22.95,0.54699,0.5150879825,1.531271485,F,0.4687,C,0.36415,R24.3,0.13305,R31.95,0.00146,R42.7,0,R56.85,0.00016,RAI,0.03249,4h2h2d
3.18389,0.44882,23.6169,0.55118,0.4299341357,1.563794841,F,0.51056,C,0.21375,R24.3,0.27067,R31.95,0.00503,R42.7,0,R56.85,0,RAI,0,4h2d2c
5.16855,0.48044,21.6611,0.51956,0.6519970474,1.521576,F,0.50187,C,0.42551,R24.3,0.0449,R31.95,0.00686,R42.7,0.00675,R56.85,0.00703,RAI,0.00708,4h3h2h
6.22111,0.46426,20.5805,0.53574,0.8121245681,1.402010492,F,0.45325,C,0.40769,R24.3,0.11058,R31.95,0.00834,R42.7,0.00575,R56.85,0.00511,RAI,0.00927,4h3h2d
