oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,R120,actions/6/action_code,AI,flop
7.53379,0.39801,24.4661,0.60199,0.7725977947,1.246690367,F,0.446,C,0.33978,R22.35,0.10048,R30.5,0.00131,R41.9,0.00533,R56.95,0.02711,RAI,0.07999,5h4d2h
7.33394,0.39588,24.6665,0.60412,0.7561495418,1.25247023,F,0.4526,C,0.3332,R22.35,0.10436,R30.5,0.00199,R41.9,0.00544,R56.95,0.02829,RAI,0.07412,5d4h2h
8.63559,0.41612,23.3635,0.58388,0.8470466477,1.227431435,F,0.4223,C,0.32075,R22.35,0.1702,R30.5,0.01055,R41.9,0.00065,R56.95,0.00437,RAI,0.07118,5h4d2c
7.59971,0.44472,24.4048,0.55528,0.6975000998,1.348172939,F,0.41122,C,0.4664,R22.35,0.12203,R30.5,0.00035,R41.9,0,R56.95,0,RAI,0,5h4h3h
6.88933,0.39556,25.1093,0.60444,0.7108836631,1.274275916,F,0.47316,C,0.29844,R22.35,0.18228,R30.5,0.00071,R41.9,0.00006,R56.95,0.01127,RAI,0.03408,5d4h3h
7.02137,0.39705,24.9788,0.60295,0.7217895297,1.270785799,F,0.46312,C,0.30609,R22.35,0.18612,R30.5,0.00011,R41.9,0.00013,R56.95,0.01284,RAI,0.03159,5h4h3d
6.99924,0.39638,25.0023,0.60362,0.7207307555,1.27056793,F,0.46772,C,0.30154,R22.35,0.18629,R30.5,0.00015,R41.9,0.00024,R56.95,0.01324,RAI,0.03082,5h4d3h
8.30162,0.41769,23.696,0.58231,0.8112274803,1.248254058,F,0.43808,C,0.27323,R22.35,0.28707,R30.5,0.00143,R41.9,0.00001,R56.95,0.00008,RAI,0.00011,5h4d3c
7.79811,0.40412,24.2004,0.59588,0.7876130996,1.245793742,F,0.51325,C,0.22706,R22.35,0.17915,R30.5,0.07288,R41.9,0.0002,R56.95,0.0006,RAI,0.00686,5h4h4d
9.3012,0.43121,22.7017,0.56879,0.8804081605,1.224303758,F,0.44077,C,0.26417,R22.35,0.25056,R30.5,0.0445,R41.9,0,R56.95,0,RAI,0,5h4d4c
7.01672,0.38816,24.9855,0.61184,0.737831653,1.252660662,F,0.56687,C,0.12843,R22.35,0.29107,R30.5,0.01297,R41.9,0.00049,R56.95,0,RAI,0.00016,5h5d2h
7.95166,0.40982,24.0498,0.59018,0.7919515031,1.24999926,F,0.54641,C,0.06618,R22.35,0.38182,R30.5,0.00559,R41.9,0,R56.95,0,RAI,0,5d5c2h
7.01886,0.3867,24.9845,0.6133,0.7408432191,1.24962555,F,0.56219,C,0.14945,R22.35,0.26394,R30.5,0.02369,R41.9,0.00004,R56.95,0,RAI,0.00069,5h5d3h
7.92244,0.41002,24.0807,0.58998,0.7886564192,1.252027499,F,0.53854,C,0.09046,R22.35,0.35852,R30.5,0.01249,R41.9,0,R56.95,0,RAI,0,5d5c3h
7.19233,0.39221,24.8073,0.60779,0.7484880039,1.252009608,F,0.54664,C,0.1789,R22.35,0.22626,R30.5,0.04689,R41.9,0.00012,R56.95,0.00006,RAI,0.00112,5h5d4h
8.38134,0.41837,23.6216,0.58163,0.8176865081,1.245792293,F,0.49861,C,0.17651,R22.35,0.30278,R30.5,0.02209,R41.9,0,R56.95,0,RAI,0,5d5c4h
9.17892,0.42206,22.8205,0.57794,0.8876694689,1.211223916,F,0.53869,C,0.03595,R22.35,0.42531,R30.5,0.00005,R41.9,0,R56.95,0,RAI,0,5h5d5c
8.44748,0.42158,23.5527,0.57842,0.8178640378,1.249048855,F,0.46255,C,0.29139,R22.35,0.15564,R30.5,0.06225,R41.9,0.00183,R56.95,0.00176,RAI,0.02458,6h2h2d
10.0776,0.44246,21.927,0.55754,0.9296456642,1.206385101,F,0.43409,C,0.24218,R22.35,0.3013,R30.5,0.02243,R41.9,0,R56.95,0,RAI,0,6h2d2c
7.86886,0.46848,24.1303,0.53152,0.6855745302,1.392597183,F,0.36331,C,0.58791,R22.35,0.0484,R30.5,0.00038,R41.9,0,R56.95,0,RAI,0,6h3h2h
7.68766,0.41158,24.3132,0.58842,0.7623841112,1.267467832,F,0.48696,C,0.26264,R22.35,0.21619,R30.5,0.03398,R41.9,0.00016,R56.95,0.00001,RAI,0.00006,6d3h2h
7.80925,0.41431,24.1926,0.58569,0.7693391098,1.267060834,F,0.47254,C,0.2859,R22.35,0.19971,R30.5,0.04097,R41.9,0.00015,R56.95,0.00018,RAI,0.00055,6h3h2d
7.79188,0.41415,24.2056,0.58585,0.7679244815,1.267395536,F,0.47469,C,0.28259,R22.35,0.20136,R30.5,0.04083,R41.9,0.00013,R56.95,0.00007,RAI,0.00032,6h3d2h
8.4783,0.42809,23.5238,0.57191,0.8083652039,1.261715472,F,0.44692,C,0.25041,R22.35,0.24973,R30.5,0.05294,R41.9,0,R56.95,0,RAI,0,6h3d2c
8.31334,0.42033,23.6869,0.57967,0.8072705192,1.253457975,F,0.46217,C,0.29337,R22.35,0.14235,R30.5,0.07604,R41.9,0.00251,R56.95,0.00298,RAI,0.02057,6h3h3d
9.87663,0.44094,22.129,0.55906,0.9142462803,1.214186517,F,0.43307,C,0.25068,R22.35,0.27806,R30.5,0.03819,R41.9,0,R56.95,0,RAI,0,6h3d3c
7.69839,0.45916,24.3045,0.54084,0.6843366152,1.378477106,F,0.39774,C,0.48684,R22.35,0.11515,R30.5,0.00027,R41.9,0,R56.95,0,RAI,0,6h4h2h
8.28944,0.42001,23.7104,0.57999,0.8055629527,1.254011891,F,0.45879,C,0.30295,R22.35,0.16684,R30.5,0.05844,R41.9,0.00024,R56.95,0.00096,RAI,0.01178,6d4h2h
8.41139,0.42194,23.591,0.57806,0.8136750585,1.251858621,F,0.44568,C,0.32371,R22.35,0.15062,R30.5,0.06135,R41.9,0.00017,R56.95,0.00057,RAI,0.0179,6h4h2d
8.3192,0.42231,23.6812,0.57769,0.8040519288,1.257448893,F,0.45145,C,0.31075,R22.35,0.17533,R30.5,0.04735,R41.9,0.00008,R56.95,0.00022,RAI,0.01481,6h4d2h
9.3315,0.43954,22.6692,0.56046,0.8665367299,1.240720025,F,0.39072,C,0.34635,R22.35,0.16337,R30.5,0.09957,R41.9,0,R56.95,0,RAI,0,6h4d2c
7.79722,0.46137,24.204,0.53863,0.6898018791,1.378410141,F,0.39166,C,0.51206,R22.35,0.09581,R30.5,0.00046,R41.9,0,R56.95,0,RAI,0,6h4h3h
8.03651,0.42299,23.9625,0.57701,0.7754813112,1.273887348,F,0.44348,C,0.3307,R22.35,0.18619,R30.5,0.00649,R41.9,0.0005,R56.95,0.00862,RAI,0.02402,6d4h3h
8.17007,0.42527,23.8311,0.57473,0.7841424021,1.271928346,F,0.43346,C,0.34682,R22.35,0.1723,R30.5,0.00496,R41.9,0.00052,R56.95,0.01231,RAI,0.02963,6h4h3d
8.05575,0.4248,23.9452,0.5752,0.7740256862,1.2769759,F,0.43955,C,0.33521,R22.35,0.18645,R30.5,0.00421,R41.9,0.00039,R56.95,0.01074,RAI,0.02344,6h4d3h
9.0598,0.43781,22.941,0.56219,0.8446306799,1.251732276,F,0.40366,C,0.32253,R22.35,0.24199,R30.5,0.03182,R41.9,0,R56.95,0,RAI,0,6h4d3c
8.00572,0.41119,23.9934,0.58881,0.7946790651,1.249968822,F,0.49416,C,0.23615,R22.35,0.22469,R30.5,0.04317,R41.9,0.00009,R56.95,0.00001,RAI,0.00174,6h4h4d
8.94737,0.43097,23.0555,0.56903,0.8473878624,1.242859315,F,0.45858,C,0.22362,R22.35,0.29154,R30.5,0.02626,R41.9,0,R56.95,0,RAI,0,6h4d4c
7.936,0.46452,24.0643,0.53548,0.6973184296,1.378516571,F,0.38387,C,0.53482,R22.35,0.08087,R30.5,0.00044,R41.9,0,R56.95,0,RAI,0,6h5h2h
