oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R50,actions/3/action_code,R100,actions/4/action_code,AI,flop
7.41323,0.56208,2.02908,0.43792,1.325519857,0.7722414653,F,0.30389,C,0.58863,R10.9,0.10661,R17.85,0.00087,RAI,0,2h2d2c
7.34592,0.55252,2.10907,0.44748,1.33621128,0.7855360743,F,0.37619,C,0.4818,R10.9,0.13399,R17.85,0.0038,RAI,0.00422,3h2h2d
7.39198,0.55101,2.06323,0.44899,1.348274193,0.7658782659,F,0.34786,C,0.50482,R10.9,0.14665,R17.85,0.00067,RAI,0,3h2d2c
7.61725,0.55274,2.01953,0.44726,1.385014276,0.7525563402,F,0.3871,C,0.43666,R10.9,0.1715,R17.85,0.00464,RAI,0.00009,3h3d2h
7.33126,0.5477,2.12699,0.4523,1.345280422,0.7837681564,F,0.36318,C,0.45982,R10.9,0.17223,R17.85,0.00254,RAI,0.00224,3d3c2h
7.31197,0.55908,2.12909,0.44092,1.314429731,0.8047907759,F,0.29859,C,0.5934,R10.9,0.10789,R17.85,0.00012,RAI,0,3h3d3c
7.33221,0.55128,2.12791,0.44872,1.336717285,0.7903629064,F,0.37492,C,0.48115,R10.9,0.13573,R17.85,0.00398,RAI,0.00422,4h2h2d
7.36481,0.5507,2.08916,0.4493,1.344074626,0.774968472,F,0.34385,C,0.5109,R10.9,0.14506,R17.85,0.00019,RAI,0,4h2d2c
7.79041,0.53263,1.69967,0.46737,1.469980558,0.6061114836,F,0.42435,C,0.57501,R10.9,0.0005,R17.85,0.00015,RAI,0,4h3h2h
7.66433,0.53613,1.81338,0.46387,1.436749308,0.6515403189,F,0.392,C,0.46515,R10.9,0.14006,R17.85,0.0027,RAI,0.00008,4h3h2d
7.64149,0.53425,1.82835,0.46575,1.437508494,0.6542672798,F,0.39277,C,0.46197,R10.9,0.14251,R17.85,0.00269,RAI,0.00006,4h3d2h
7.65106,0.53479,1.82482,0.46521,1.437855595,0.6537621282,F,0.39174,C,0.4693,R10.9,0.13612,R17.85,0.00278,RAI,0.00006,4d3h2h
7.64208,0.53756,1.80171,0.46244,1.428767475,0.6493490887,F,0.37309,C,0.50075,R10.9,0.12481,R17.85,0.00131,RAI,0.00004,4h3d2c
7.48124,0.55954,1.95165,0.44046,1.343752782,0.7384893214,F,0.38102,C,0.4462,R10.9,0.16377,R17.85,0.00611,RAI,0.00291,4h3h3d
7.34134,0.55204,2.11576,0.44796,1.336539286,0.787183431,F,0.35918,C,0.45871,R10.9,0.17576,R17.85,0.0029,RAI,0.00345,4h3d3c
7.46012,0.5432,2.07255,0.4568,1.380266572,0.7561843242,F,0.39365,C,0.44566,R10.9,0.15606,R17.85,0.00215,RAI,0.00248,4h4d2h
7.39332,0.54324,2.08869,0.45676,1.367806549,0.7621398881,F,0.37141,C,0.45541,R10.9,0.16727,R17.85,0.00263,RAI,0.00327,4d4c2h
7.67441,0.55609,1.95151,0.44391,1.387001165,0.7326972962,F,0.38626,C,0.45518,R10.9,0.15484,R17.85,0.00297,RAI,0.00075,4h4d3h
7.38219,0.54373,2.07037,0.45627,1.36451665,0.7562663616,F,0.36861,C,0.46013,R10.9,0.16486,R17.85,0.00277,RAI,0.00362,4d4c3h
7.36222,0.55772,2.08574,0.44228,1.326690063,0.7859802672,F,0.32284,C,0.59161,R10.9,0.08402,R17.85,0.00153,RAI,0,4h4d4c
7.33033,0.55093,2.12807,0.44907,1.337223497,0.789806372,F,0.3739,C,0.47844,R10.9,0.14045,R17.85,0.00361,RAI,0.0036,5h2h2d
7.31625,0.55117,2.13692,0.44883,1.334073886,0.7935149666,F,0.34208,C,0.5124,R10.9,0.1455,R17.85,0.00002,RAI,0,5h2d2c
7.74991,0.54342,1.72471,0.45658,1.433302769,0.6295756634,F,0.42217,C,0.57582,R10.9,0.00129,R17.85,0.00066,RAI,0.00005,5h3h2h
7.61772,0.53996,1.84488,0.46004,1.41788276,0.668376653,F,0.38451,C,0.49912,R10.9,0.11309,R17.85,0.00327,RAI,0.00002,5d3h2h
7.63066,0.53813,1.82085,0.46187,1.425121307,0.657057165,F,0.38697,C,0.48301,R10.9,0.12631,R17.85,0.00365,RAI,0.00006,5h3h2d
7.66702,0.53808,1.80663,0.46192,1.432045032,0.6518553148,F,0.38747,C,0.47827,R10.9,0.13082,R17.85,0.00342,RAI,0.00002,5h3d2h
7.65261,0.53589,1.82071,0.46411,1.435194796,0.6538356549,F,0.36788,C,0.52083,R10.9,0.10988,R17.85,0.0014,RAI,0,5h3d2c
7.49686,0.55494,1.98389,0.44506,1.357720274,0.7429297889,F,0.37963,C,0.45055,R10.9,0.16118,R17.85,0.0055,RAI,0.00314,5h3h3d
7.32119,0.55096,2.14353,0.44904,1.335483469,0.7955972418,F,0.35316,C,0.47043,R10.9,0.17064,R17.85,0.00255,RAI,0.00321,5h3d3c
7.67628,0.54787,1.80333,0.45213,1.408154228,0.6647534946,F,0.41622,C,0.5644,R10.9,0.01663,R17.85,0.00226,RAI,0.00048,5h4h2h
7.50812,0.54036,1.90811,0.45964,1.396448603,0.6918856924,F,0.37556,C,0.42516,R10.9,0.19365,R17.85,0.00464,RAI,0.00098,5h4h2d
7.8596,0.55883,1.73246,0.44117,1.413505936,0.6544944861,F,0.37478,C,0.4216,R10.9,0.19925,R17.85,0.00325,RAI,0.00113,5h4d2h
7.63005,0.55255,1.84116,0.44745,1.38781864,0.6857972994,F,0.37468,C,0.4355,R10.9,0.18344,R17.85,0.00423,RAI,0.00214,5d4h2h
7.07213,0.58157,0.53287,0.41843,1.222151794,0.2122497566,F,0.34993,C,0.43702,R10.9,0.20609,R17.85,0.0059,RAI,0.00106,5h4d2c
7.61004,0.53707,1.84171,0.46293,1.424075434,0.6630628086,F,0.41622,C,0.56372,R10.9,0.0175,R17.85,0.00235,RAI,0.00021,5h4h3h
7.77818,0.53254,1.76504,0.46746,1.467920928,0.6293016214,F,0.38012,C,0.40913,R10.9,0.20663,R17.85,0.00291,RAI,0.00121,5d4h3h
7.95985,0.53739,1.66282,0.46261,1.488648686,0.5990719176,F,0.38131,C,0.3948,R10.9,0.22087,R17.85,0.00242,RAI,0.0006,5h4h3d
7.76485,0.52983,1.71161,0.47017,1.472900703,0.6067344405,F,0.38168,C,0.3959,R10.9,0.22011,R17.85,0.00171,RAI,0.00061,5h4d3h
10.4101,0.55315,0.78016,0.44685,1.89142404,0.290985046,F,0.36273,C,0.38464,R10.9,0.24723,R17.85,0.0048,RAI,0.00059,5h4d3c
7.58326,0.55275,1.89557,0.44725,1.378809048,0.7063797292,F,0.3832,C,0.46187,R10.9,0.14832,R17.85,0.00334,RAI,0.00327,5h4h4d
7.44116,0.55211,2.06039,0.44788,1.354540353,0.7667195068,F,0.36904,C,0.44963,R10.9,0.17559,R17.85,0.00297,RAI,0.00277,5h4d4c
7.48332,0.53941,2.01126,0.46059,1.394287264,0.7277839333,F,0.3976,C,0.44175,R10.9,0.15513,R17.85,0.00218,RAI,0.00335,5h5d2h
7.36208,0.53829,2.10716,0.46171,1.374551849,0.7606362089,F,0.37626,C,0.44816,R10.9,0.16994,R17.85,0.00259,RAI,0.00305,5d5c2h
7.47929,0.53782,1.98181,0.46218,1.397656212,0.7146602415,F,0.38888,C,0.4657,R10.9,0.13851,R17.85,0.00321,RAI,0.0037,5h5d3h
7.44475,0.53701,2.03724,0.46299,1.39330002,0.7333636041,F,0.3728,C,0.45867,R10.9,0.16306,R17.85,0.00238,RAI,0.00309,5d5c3h
