oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R50,actions/3/action_code,R100,actions/4/action_code,AI,flop
11.5686,0.5467,1.77954,0.4533,1.533395331,0.6542907367,F,0.49035,C,0.46686,R18.6,0.04277,R29.4,0.00002,RAI,0,2h2d2c
11.4309,0.52581,1.91259,0.47419,1.575333398,0.6722305546,F,0.54786,C,0.37652,R18.6,0.06349,R29.4,0.00655,RAI,0.00557,3h2h2d
11.2406,0.53635,2.12982,0.46365,1.518664112,0.7655991095,F,0.51424,C,0.43908,R18.6,0.03325,R29.4,0.00677,RAI,0.00666,3h2d2c
18.4411,0.6471,-1.74969,0.3529,2.065081896,-0.8263389363,F,0.56813,C,0.30872,R18.6,0.12254,R29.4,0.00057,RAI,0.00004,3h3d2h
10.9123,0.50731,2.26132,0.49269,1.558708815,0.7649570481,F,0.5281,C,0.38681,R18.6,0.07293,R29.4,0.00656,RAI,0.0056,3d3c2h
11.3991,0.53929,1.95504,0.46071,1.531681087,0.7072562004,F,0.49249,C,0.46446,R18.6,0.03483,R29.4,0.00765,RAI,0.00057,3h3d3c
21.0816,0.91086,-2.70889,0.08914,1.677156848,-5.064860563,F,0.55104,C,0.36473,R18.6,0.08219,R29.4,0.00146,RAI,0.00058,4h2h2d
11.1629,0.53151,2.16933,0.46849,1.521895918,0.7717453452,F,0.5144,C,0.43787,R18.6,0.03622,R29.4,0.00559,RAI,0.00592,4h2d2c
11.8366,0.51936,1.57402,0.48064,1.651504431,0.545806996,F,0.60671,C,0.37076,R18.6,0.01865,R29.4,0.00271,RAI,0.00117,4h3h2h
11.8962,0.51879,1.48216,0.48121,1.66163964,0.5133448296,F,0.5821,C,0.29441,R18.6,0.12117,R29.4,0.00181,RAI,0.00052,4h3h2d
11.8465,0.51873,1.54334,0.48127,1.654891915,0.5344678366,F,0.58262,C,0.29226,R18.6,0.12136,R29.4,0.00266,RAI,0.0011,4h3d2h
11.8737,0.52392,1.56597,0.47608,1.642264462,0.5482166662,F,0.58145,C,0.29865,R18.6,0.11616,R29.4,0.00264,RAI,0.0011,4d3h2h
11.5161,0.51314,1.85548,0.48686,1.626254754,0.6351859976,F,0.56594,C,0.32816,R18.6,0.10055,R29.4,0.0027,RAI,0.00265,4h3d2c
16.6443,0.66346,-0.23958,0.33654,1.817909266,-0.1186485984,F,0.5601,C,0.32665,R18.6,0.11211,R29.4,0.00097,RAI,0.00016,4h3h3d
,,,,,,F,0.5288,C,0.37451,R18.6,0.09606,R29.4,0.00057,RAI,0.00006,4h3d3c
18.4391,0.71081,-0.65264,0.28919,1.879780357,-0.3761310314,F,0.57736,C,0.29308,R18.6,0.12854,R29.4,0.00101,RAI,0,4h4d2h
15.0303,0.62113,1.31309,0.37887,1.753501203,0.5776343384,F,0.55107,C,0.32974,R18.6,0.11414,R29.4,0.00306,RAI,0.002,4d4c2h
14.2161,0.56627,0.68936,0.43373,1.819183894,0.2648959847,F,0.57186,C,0.304,R18.6,0.12325,R29.4,0.00089,RAI,0,4h4d3h
22.5262,0.93435,-1.12512,0.06566,1.747028591,-2.855924577,F,0.54978,C,0.33413,R18.6,0.11485,R29.4,0.00118,RAI,0.00006,4d4c3h
11.399,0.53461,1.95825,0.46539,1.545085463,0.70129356,F,0.51427,C,0.45223,R18.6,0.02617,R29.4,0.0055,RAI,0.00183,4h4d4c
11.6778,0.53418,1.77502,0.46582,1.584141426,0.6350879267,F,0.55286,C,0.35714,R18.6,0.08089,R29.4,0.00482,RAI,0.00428,5h2h2d
11.1973,0.53047,2.17031,0.46953,1.529590967,0.7703838886,F,0.51421,C,0.43546,R18.6,0.03891,R29.4,0.00592,RAI,0.00551,5h2d2c
11.9892,0.5225,1.57556,0.4775,1.662747408,0.5499336828,F,0.60584,C,0.35913,R18.6,0.03275,R29.4,0.0015,RAI,0.00078,5h3h2h
11.7035,0.51922,1.63323,0.48078,1.633372567,0.5661737012,F,0.57411,C,0.33045,R18.6,0.08928,R29.4,0.00398,RAI,0.00217,5d3h2h
11.7789,0.52305,1.58427,0.47695,1.631858278,0.5536115017,F,0.57562,C,0.31903,R18.6,0.09908,R29.4,0.00385,RAI,0.00242,5h3h2d
11.8157,0.52349,1.56672,0.47651,1.635576521,0.5479843191,F,0.57616,C,0.31555,R18.6,0.10265,R29.4,0.00361,RAI,0.00203,5h3d2h
11.646,0.51995,1.74746,0.48005,1.623065836,0.6066937529,F,0.5564,C,0.35688,R18.6,0.08117,R29.4,0.00286,RAI,0.00268,5h3d2c
15.7864,0.66084,-0.54416,0.33916,1.731043552,-0.2674057554,F,0.56039,C,0.32225,R18.6,0.11575,R29.4,0.00107,RAI,0.00055,5h3h3d
,,,,,,F,0.52584,C,0.3794,R18.6,0.09433,R29.4,0.00041,RAI,0.00002,5h3d3c
11.5266,0.53004,1.82205,0.46996,1.575838101,0.6461720003,F,0.60116,C,0.35887,R18.6,0.0301,R29.4,0.00573,RAI,0.00414,5h4h2h
11.8907,0.526,1.60643,0.474,1.638115035,0.5648488151,F,0.55517,C,0.31621,R18.6,0.11577,R29.4,0.00621,RAI,0.00663,5h4h2d
12.6843,0.5854,1.23497,0.4146,1.570127979,0.4964503657,F,0.55657,C,0.30879,R18.6,0.12652,R29.4,0.00353,RAI,0.00459,5h4d2h
11.7248,0.5284,1.58504,0.4716,1.607920765,0.560163976,F,0.55686,C,0.31572,R18.6,0.12157,R29.4,0.003,RAI,0.00285,5d4h2h
