oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,R120,actions/6/action_code,AI,flop
6.1004,0.45523,20.6996,0.54477,0.8121635487,1.38675139,F,0.42422,C,0.45849,R24.3,0.07808,R31.95,0,R42.7,0,R56.85,0,RAI,0.03921,5h4d2h
6.06864,0.45561,20.7307,0.54439,0.8072614122,1.389800291,F,0.42579,C,0.45433,R24.3,0.08335,R31.95,0,R42.7,0,R56.85,0.00001,RAI,0.03652,5d4h2h
6.19642,0.45453,20.6036,0.54547,0.8262174492,1.378545373,F,0.39514,C,0.47654,R24.3,0.12806,R31.95,0,R42.7,0,R56.85,0.00007,RAI,0.00019,5h4d2c
5.27005,0.47751,21.506,0.52249,0.6688801683,1.502208714,F,0.49543,C,0.40797,R24.3,0.07209,R31.95,0.00611,R42.7,0.00618,R56.85,0.00624,RAI,0.00599,5h4h3h
6.16812,0.45474,20.6289,0.54526,0.8220641662,1.380768358,F,0.42662,C,0.46505,R24.3,0.06886,R31.95,0.00016,R42.7,0.00019,R56.85,0.00259,RAI,0.03653,5d4h3h
6.17029,0.45377,20.6302,0.54623,0.8241112451,1.378408501,F,0.42736,C,0.46365,R24.3,0.07417,R31.95,0.00069,R42.7,0.00167,R56.85,0.00713,RAI,0.02534,5h4h3d
6.12759,0.45345,20.6748,0.54655,0.8189857899,1.380579098,F,0.4238,C,0.4743,R24.3,0.0603,R31.95,0.00021,R42.7,0.00059,R56.85,0.0072,RAI,0.0336,5h4d3h
6.68514,0.45604,20.1152,0.54396,0.8884308669,1.349608213,F,0.39203,C,0.52296,R24.3,0.08501,R31.95,0,R42.7,0,R56.85,0,RAI,0,5h4d3c
5.19585,0.45307,21.6041,0.54693,0.6950360506,1.441630107,F,0.43642,C,0.42862,R24.3,0.11558,R31.95,0.00003,R42.7,0,R56.85,0,RAI,0.01935,5h4h4d
4.49805,0.448,22.3025,0.552,0.6085024451,1.474567623,F,0.47014,C,0.29616,R24.3,0.22588,R31.95,0.00782,R42.7,0,R56.85,0,RAI,0,5h4d4c
5.29319,0.45241,21.5068,0.54759,0.7090899521,1.433406973,F,0.45473,C,0.39514,R24.3,0.1467,R31.95,0.00002,R42.7,0,R56.85,0,RAI,0.00341,5h5d2h
5.06534,0.45267,21.7344,0.54733,0.678176818,1.449262376,F,0.46385,C,0.33024,R24.3,0.20592,R31.95,0,R42.7,0,R56.85,0,RAI,0,5d5c2h
5.1959,0.4512,21.6044,0.5488,0.6979233649,1.436736555,F,0.45283,C,0.40006,R24.3,0.13491,R31.95,0.00047,R42.7,0,R56.85,0.00003,RAI,0.0117,5h5d3h
