oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Check,actions/1/action_code,B33,actions/2/action_code,B66,actions/3/action_code,B130,actions/4/action_code,AI,flop
8.24833,0.50692,11.1517,0.49308,0.8135731911,1.130824643,X,0.43186,R6.6,0.36956,R13.2,0.19858,R26,0,RAI,0,5h4h4d
7.11476,0.49728,12.2855,0.50272,0.7153675895,1.22189987,X,0.39476,R6.6,0.2974,R13.2,0.3078,R26,0.00004,RAI,0,5h4d4c
7.45854,0.50379,11.9415,0.49621,0.7402429239,1.203268724,X,0.32849,R6.6,0.42451,R13.2,0.24699,R26,0,RAI,0,5h5d2h
6.29412,0.4949,13.1063,0.5051,0.6358981598,1.297398542,X,0.30673,R6.6,0.34487,R13.2,0.3484,R26,0,RAI,0,5d5c2h
7.5601,0.50273,11.8397,0.49727,0.7519045908,1.190473037,X,0.35753,R6.6,0.39641,R13.2,0.24606,R26,0,RAI,0,5h5d3h
6.41482,0.49353,12.9855,0.50647,0.6498916101,1.281964309,X,0.32507,R6.6,0.34292,R13.2,0.33201,R26,0,RAI,0,5d5c3h
8.00448,0.50394,11.3954,0.49606,0.7941898421,1.148592888,X,0.38416,R6.6,0.41428,R13.2,0.20156,R26,0,RAI,0,5h5d4h
6.83339,0.49421,12.5672,0.50579,0.6913447896,1.242332815,X,0.33447,R6.6,0.35447,R13.2,0.31105,R26,0,RAI,0,5d5c4h
5.61705,0.48998,13.7833,0.51002,0.5731917661,1.35124896,X,0.2528,R6.6,0.57775,R13.2,0.16944,R26,0,RAI,0,5h5d5c
7.0795,0.4941,12.3208,0.5059,0.7164035757,1.217712911,X,0.25574,R6.6,0.53478,R13.2,0.20948,R26,0,RAI,0,6h2h2d
5.77764,0.48448,13.6225,0.51552,0.596272286,1.321239775,X,0.21787,R6.6,0.40823,R13.2,0.37384,R26,0.00006,RAI,0,6h2d2c
9.41913,0.5002,9.98128,0.4998,0.9415364677,0.9985274504,X,0.89432,R6.6,0.10539,R13.2,0.00029,R26,0,RAI,0,6h3h2h
8.11165,0.49751,11.2884,0.50249,0.8152248892,1.123247283,X,0.38364,R6.6,0.4869,R13.2,0.12495,R26,0.00452,RAI,0,6d3h2h
8.0482,0.49705,11.3516,0.50295,0.8095966059,1.128504814,X,0.38206,R6.6,0.46617,R13.2,0.15163,R26,0.00013,RAI,0,6h3h2d
8.06198,0.49717,11.3386,0.50283,0.8107870776,1.127477381,X,0.38555,R6.6,0.45845,R13.2,0.15575,R26,0.00026,RAI,0,6h3d2h
6.9042,0.48677,12.4958,0.51323,0.7091850381,1.217365492,X,0.35792,R6.6,0.35824,R13.2,0.27627,R26,0.00757,RAI,0,6h3d2c
7.60295,0.49717,11.7972,0.50283,0.7646227726,1.173076336,X,0.3157,R6.6,0.48224,R13.2,0.20204,R26,0.00002,RAI,0,6h3h3d
6.405,0.48737,12.9952,0.51263,0.6570983055,1.267504881,X,0.27405,R6.6,0.3806,R13.2,0.34534,R26,0.00001,RAI,0,6h3d3c
9.56068,0.50133,9.83969,0.49867,0.9535316104,0.9865933359,X,0.92059,R6.6,0.07932,R13.2,0.00006,R26,0.00003,RAI,0,6h4h2h
8.31844,0.49866,11.0815,0.50134,0.8340793795,1.105183217,X,0.46529,R6.6,0.38878,R13.2,0.14571,R26,0.00023,RAI,0,6d4h2h
8.25748,0.4982,11.1425,0.5018,0.8287314009,1.110251084,X,0.46153,R6.6,0.37941,R13.2,0.15877,R26,0.0003,RAI,0,6h4h2d
8.28025,0.49839,11.1198,0.50161,0.8306998311,1.108411966,X,0.459,R6.6,0.39158,R13.2,0.14916,R26,0.00026,RAI,0,6h4d2h
7.13871,0.48763,12.2612,0.51237,0.7319801777,1.196519183,X,0.42642,R6.6,0.29941,R13.2,0.26685,R26,0.00732,RAI,0,6h4d2c
9.66954,0.50088,9.73058,0.49912,0.9652551857,0.9747736404,X,0.96602,R6.6,0.03178,R13.2,0.0022,R26,0,RAI,0,6h4h3h
8.70244,0.49781,10.6974,0.50219,0.8740724528,1.065077937,X,0.52785,R6.6,0.39323,R13.2,0.07892,R26,0,RAI,0,6d4h3h
8.66671,0.49757,10.7328,0.50243,0.8709035673,1.068087096,X,0.5228,R6.6,0.39428,R13.2,0.08291,R26,0.00001,RAI,0,6h4h3d
8.67654,0.49762,10.7235,0.50238,0.8718038473,1.067273779,X,0.52333,R6.6,0.39605,R13.2,0.08062,R26,0,RAI,0,6h4d3h
7.63165,0.48675,11.7682,0.51325,0.7839393802,1.146442337,X,0.43732,R6.6,0.35617,R13.2,0.20614,R26,0.00037,RAI,0,6h4d3c
8.12051,0.49904,11.2796,0.50096,0.813613135,1.125794501,X,0.37304,R6.6,0.4917,R13.2,0.13526,R26,0,RAI,0,6h4h4d
6.96378,0.48863,12.4367,0.51137,0.7125821145,1.216012887,X,0.29061,R6.6,0.43181,R13.2,0.27744,R26,0.00015,RAI,0,6h4d4c
9.70229,0.50201,9.69792,0.49799,0.9663442777,0.97370626,X,0.96856,R6.6,0.03129,R13.2,0.00013,R26,0.00003,RAI,0,6h5h2h
8.55994,0.49868,10.8402,0.50132,0.8582598475,1.081164709,X,0.48908,R6.6,0.3779,R13.2,0.133,R26,0.00002,RAI,0,6h5d2h
8.58132,0.49858,10.8187,0.50142,0.8605760017,1.078810123,X,0.48744,R6.6,0.37264,R13.2,0.13987,R26,0.00005,RAI,0,6h5h2d
8.59616,0.49886,10.8035,0.50114,0.8615803941,1.077893378,X,0.49012,R6.6,0.38016,R13.2,0.12967,R26,0.00004,RAI,0,6d5h2h
7.41885,0.4877,11.9819,0.5123,0.76059567,1.169421178,X,0.42193,R6.6,0.31798,R13.2,0.25821,R26,0.00188,RAI,0,6h5d2c
9.79048,0.50122,9.60963,0.49878,0.9766649273,0.9633134245,X,0.98286,R6.6,0.01547,R13.2,0.00167,R26,0,RAI,0,6h5h3h
8.90953,0.49757,10.4903,0.50243,0.8953041323,1.043954352,X,0.56165,R6.6,0.35876,R13.2,0.07959,R26,0,RAI,0,6h5h3d
8.88166,0.4975,10.5179,0.5025,0.8926291878,1.046555273,X,0.56477,R6.6,0.34956,R13.2,0.08567,R26,0,RAI,0,6h5d3h
8.91605,0.4977,10.484,0.5023,0.8957253219,1.043601407,X,0.5646,R6.6,0.35182,R13.2,0.08357,R26,0,RAI,0,6d5h3h
7.82601,0.48638,11.5744,0.51362,0.8045160217,1.126744476,X,0.44433,R6.6,0.34853,R13.2,0.20707,R26,0.00007,RAI,0,6h5d3c
9.78484,0.49722,9.61517,0.50278,0.9839547325,0.9562004394,X,0.99637,R6.6,0.00359,R13.2,0.00004,R26,0,RAI,0,6h5h4h
9.19046,0.49191,10.2095,0.50809,0.9341607212,1.004698923,X,0.75637,R6.6,0.22405,R13.2,0.01958,R26,0,RAI,0,6d5h4h
9.17073,0.49178,10.2293,0.50822,0.9324016224,1.006384952,X,0.74689,R6.6,0.23408,R13.2,0.01903,R26,0,RAI,0,6h5h4d
9.14454,0.49161,10.2555,0.50839,0.9300604146,1.008622326,X,0.74018,R6.6,0.23998,R13.2,0.01984,R26,0,RAI,0,6h5d4h
8.21046,0.47967,11.1897,0.52033,0.855844634,1.075248385,X,0.51191,R6.6,0.43724,R13.2,0.05073,R26,0.00013,RAI,0,6h5d4c
8.28001,0.49662,11.1204,0.50338,0.8336364054,1.104576064,X,0.35273,R6.6,0.55329,R13.2,0.09397,R26,0.00001,RAI,0,6h5h5d
7.03149,0.48572,12.3688,0.51428,0.723821309,1.202539444,X,0.23704,R6.6,0.51394,R13.2,0.24896,R26,0.00005,RAI,0,6h5d5c
6.65528,0.48745,12.745,0.51255,0.6826628438,1.243288497,X,0.15833,R6.6,0.66286,R13.2,0.1788,R26,0.00001,RAI,0,6h6d2h
5.29216,0.47761,14.108,0.52239,0.5540252636,1.350332088,X,0.10074,R6.6,0.65933,R13.2,0.23992,R26,0.00001,RAI,0,6d6c2h
6.89035,0.48831,12.5098,0.51169,0.7055302712,1.222401253,X,0.1895,R6.6,0.61946,R13.2,0.19104,R26,0,RAI,0,6h6d3h
5.59483,0.47835,13.8048,0.52165,0.5848050463,1.32318884,X,0.12611,R6.6,0.62689,R13.2,0.24681,R26,0.00019,RAI,0,6d6c3h
7.41181,0.49116,11.9881,0.50884,0.7545209138,1.177982174,X,0.24164,R6.6,0.60203,R13.2,0.15632,R26,0,RAI,0,6h6d4h
6.13975,0.48069,13.2601,0.51931,0.6386392449,1.276704662,X,0.13953,R6.6,0.61868,R13.2,0.24169,R26,0.0001,RAI,0,6d6c4h
7.70332,0.49116,11.6966,0.50884,0.78419659,1.149339615,X,0.24668,R6.6,0.63139,R13.2,0.12185,R26,0.00007,RAI,0,6h6d5h
