oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Check,actions/1/action_code,B33,actions/2/action_code,B66,actions/3/action_code,B130,actions/4/action_code,AI,flop
2.43864,0.50689,2.63134,0.49311,0.8747245226,0.970220556,X,0.75146,R1.8,0.13398,R3.65,0.11201,R7.15,0.00255,RAI,0,5h4d3h
2.46868,0.50784,2.60145,0.49216,0.8838431622,0.9610511017,X,0.78017,R1.8,0.09317,R3.65,0.1219,R7.15,0.00476,RAI,0,5h4d3c
2.23852,0.48861,2.82856,0.51139,0.8329825831,1.005658473,X,0.59478,R1.8,0.29581,R3.65,0.10661,R7.15,0.0028,RAI,0,5h4h4d
2.23792,0.48861,2.82758,0.51139,0.8327593669,1.005309997,X,0.61649,R1.8,0.21589,R3.65,0.16456,R7.15,0.00307,RAI,0,5h4d4c
2.2697,0.48055,2.80473,0.51945,0.858750898,0.9817131374,X,0.66071,R1.8,0.31801,R3.65,0.0184,R7.15,0.00288,RAI,0,5h5d2h
2.20489,0.47719,2.86525,0.52281,0.8401037394,0.9964510687,X,0.61326,R1.8,0.30101,R3.65,0.0834,R7.15,0.00233,RAI,0,5d5c2h
2.30443,0.48693,2.76907,0.51307,0.8604671375,0.9812837797,X,0.68318,R1.8,0.28214,R3.65,0.03209,R7.15,0.00259,RAI,0,5h5d3h
2.25648,0.48485,2.81335,0.51515,0.8461773661,0.9929499455,X,0.65388,R1.8,0.23757,R3.65,0.10611,R7.15,0.00244,RAI,0,5d5c3h
2.26561,0.48812,2.80454,0.51188,0.8439094812,0.9961638827,X,0.63225,R1.8,0.29762,R3.65,0.06745,R7.15,0.00268,RAI,0,5h5d4h
2.27134,0.4881,2.79746,0.5119,0.8460784598,0.9936102708,X,0.65415,R1.8,0.22639,R3.65,0.11722,R7.15,0.00224,RAI,0,5d5c4h
1.6616,0.45836,3.38649,0.54164,0.6591087761,1.136779951,X,0.01568,R1.8,0.41851,R3.65,0.55972,R7.15,0.00609,RAI,0,5h5d5c
2.09719,0.47506,2.96613,0.52494,0.8026507521,1.027348559,X,0.43431,R1.8,0.41983,R3.65,0.1425,R7.15,0.00336,RAI,0,6h2h2d
2.04101,0.47275,3.01488,0.52725,0.7849660566,1.039658602,X,0.35757,R1.8,0.34147,R3.65,0.29521,R7.15,0.00574,RAI,0,6h2d2c
2.14091,0.48568,2.92361,0.51432,0.801466678,1.033530551,X,0.43741,R1.8,0.53861,R3.65,0.02145,R7.15,0.00252,RAI,0,6h3h2h
2.19211,0.49006,2.86786,0.50994,0.8132993194,1.022530251,X,0.52874,R1.8,0.24473,R3.65,0.22256,R7.15,0.00397,RAI,0,6d3h2h
2.23309,0.49181,2.82858,0.50818,0.8255553054,1.012017853,X,0.57454,R1.8,0.22285,R3.65,0.19917,R7.15,0.00343,RAI,0,6h3h2d
2.21554,0.49095,2.84568,0.50905,0.8205019896,1.016395937,X,0.55944,R1.8,0.22568,R3.65,0.21107,R7.15,0.00381,RAI,0,6h3d2h
2.19984,0.49078,2.85939,0.50922,0.8149698947,1.020951829,X,0.55798,R1.8,0.09525,R3.65,0.2693,R7.15,0.07747,RAI,0,6h3d2c
